Título;Gênero;Rótulos de Gênero;Pré-estreia;Temporadas;Temporadas Analisadas;Episódios Analisados;Duração;Duração Mínima;Duração Máxima;Status;Ativo;Tabela;Linguagem;Data de Inclusão;Data de Alteração
Stretch Armstrong and the Flex Fighters;childrens-animation;childrens-animation;2017-11-17;2 seasons, 23 episodes;2;23;23 min.;23;23;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Samantha!;comedy;comedy;2018-07-06;2 seasons, 14 episodes;2;14;25–37 min.;25;37;Pending;1;ForeignLanguage;Portuguese;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Abstract: The Art of Design;biography;biography;2017-02-10;1 season, 8 episodes;1;8;41–48 min.;41;48;Ended;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Westside;music;music;2018-11-09;1 season, 8 episodes;1;8;46–58 min.;46;58;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Daredevil;crime drama/legal drama;crime,drama,legal,drama;2015-04-10;3 seasons, 39 episodes;3;39;46–61 min.;46;61;Ended;0;Marvel;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Ever After High;childrens-animation;childrens-animation;2013-05-30;5 seasons, 17 episodes;5;17;23–47 min.;23;47;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Drug Lords;documentary;documentary;2018-01-19;2 seasons, 8 episodes;2;8;42–47 min.;42;47;Ended;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Mechanism;crime drama;crime,drama;2018-03-23;2 seasons, 16 episodes;2;16;39–55 min.;39;55;Pending;1;ForeignLanguage;Portuguese;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Fix;panel show;panel,show;2018-12-14;1 season, 10 episodes;1;10;23–31 min.;23;31;Pending;1;VarietyTalk;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Jack Whitehall: Travels with My Father;travel documentary;travel,documentary;2017-09-22;2 seasons, 11 episodes;2;11;28–32 min.;28;32;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Master of None;comedy;comedy;2015-11-06;2 seasons, 20 episodes;2;20;21–57 min.;21;57;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Tuca & Bertie;comedy;comedy;2019-05-03;1 season, 10 episodes;1;10;25–26 min.;25;26;Pending;1;Animation;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
YooHoo to the Rescue;childrens-animation;childrens-animation;2019-03-15;1 season, 26 episodes;1;26;13–14 min.;13;14;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Ghoul;horror miniseries;horror,miniseries;2018-08-24;3 episodes;0;3;44–50 min.;44;50;Miniseries;0;ForeignLanguage;Hindi;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Adventures of Puss in Boots;childrens-animation;childrens-animation;2015-01-16;6 seasons, 78 episodes;6;78;22–24 min.;22;24;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Lego Friends: The Power of Friendship;childrens-animation;childrens-animation;2016-03-04;2 seasons, 4 episodes;2;4;22 min.;22;22;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
World of Winx;childrens-animation;childrens-animation;2016-11-04;2 seasons, 26 episodes;2;26;24 min.;24;24;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Formula 1: Drive to Survive;sport;sport;2019-03-08;1 season, 10 episodes;1;10;27–41 min.;27;41;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dark Tourist;travel documentary;travel,documentary;2018-07-20;1 season, 8 episodes;1;8;39–42 min.;39;42;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
